site,file_month,source_file,txn_datetime,txn_date,refund_amount,BUSINESS_FORMAT_DATE,RECEIPT_NO
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-26,2025-12-26,150.0,Accomm. Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-26,2025-12-26,150.0,Accomm. Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-27,2025-12-27,107.99,F&B Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-01,2025-12-01,10.99,F&B Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-14,2025-12-14,120.99,Accomm. Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-22,2025-12-22,137.62,Accomm. Refund/Correction,
Brighton,Dec-2025,Brighton_December_refund.csv,2025-12-05,2025-12-05,124.99,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-26,2026-01-26,49.0,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-13,2026-01-13,265.97,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-29,2026-01-29,55.0,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-05,2026-01-05,63.98,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-10,2026-01-10,75.0,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-10,2026-01-10,150.0,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-10,2026-01-10,75.0,Accomm. Refund/Correction,
Brighton,Jan-2026,Brighton_January_refund.csv,2026-01-28,2026-01-28,48.99,Accomm. Refund/Correction,
Brighton,Nov-2025,Brighton_November_refund.csv,2025-11-25,2025-11-25,15.0,Accomm. Refund/Correction,
Brighton,Nov-2025,Brighton_November_refund.csv,2025-11-13,2025-11-13,85.0,Accomm. Refund/Correction,
Brighton,Nov-2025,Brighton_November_refund.csv,2025-11-23,2025-11-23,43.96,F&B Refund/Correction,
Brighton,Nov-2025,Brighton_November_refund.csv,2025-11-23,2025-11-23,43.96,F&B Refund/Correction,
Brighton,Nov-2025,Brighton_November_refund.csv,2025-11-23,2025-11-23,43.96,F&B Refund/Correction,
